nodes,trial,v0_throughput,v0_mem_usage,v0_warm_time,v0_train_hit,v0_train_pkg_hit,v0_test_hit,v0_test_pkg_hit,v1_throughput,v1_mem_usage,v1_warm_time,v1_train_hit,v1_train_pkg_hit,v1_test_hit,v1_test_pkg_hit,v2_throughput,v2_mem_usage,v2_warm_time,v2_train_hit,v2_train_pkg_hit,v2_test_hit,v2_test_pkg_hit,v3_throughput,v3_mem_usage,v3_warm_time,v3_train_hit,v3_train_pkg_hit,v3_test_hit,v3_test_pkg_hit
1.0,0,34.388,69296.0,148.914,0.01136,0.0,0.01022,0.0,34.685,67280.0,144.116,0.01136,0.0,0.01022,0.0,34.820,67788.0,156.272,0.01136,0.0,0.01022,0.0,33.609,65280.0,155.926,0.01136,0.0,0.01022,0.0
20.0,0,36.151,160784.0,231.947,0.53068,0.22941,0.51759,0.22311,46.595,240576.0,333.448,0.62386,0.08262,0.64018,0.08403,54.810,402332.0,850.003,0.58864,0.7314,0.58116,0.6904,84.424,457100.0,955.955,0.5875,0.36002,0.60726,0.36518
40.0,0,36.629,231884.0,357.59,0.64659,0.37049,0.64813,0.36338,49.103,367372.0,476.868,0.66136,0.15958,0.67764,0.16002,65.805,624348.0,1090.717,0.64545,0.8295,0.63678,0.78892,100.770,1107172.0,2132.93,0.61364,0.65103,0.62656,0.6208
80.0,0,43.967,417276.0,451.455,0.76477,0.52435,0.78547,0.51097,53.029,657232.0,726.212,0.73068,0.26365,0.72872,0.26173,95.538,1382408.0,2094.264,0.82727,0.92143,0.83314,0.87841,133.855,2037124.0,3063.355,0.69432,0.79963,0.70488,0.74385
120.0,0,62.992,727240.0,786.649,0.87841,0.57735,0.88195,0.56748,54.721,928584.0,870.599,0.79205,0.33046,0.80136,0.32629,109.999,2022800.0,3020.004,0.89205,0.95034,0.87741,0.90327,140.317,2720008.0,3707.86,0.75,0.85173,0.74574,0.79092
160.0,0,65.858,978840.0,1009.463,0.91023,0.59669,0.89557,0.58569,56.688,1256972.0,1078.199,0.80227,0.36226,0.8059,0.35368,113.362,2498472.0,3790.583,0.92841,0.96428,0.91146,0.91298,145.261,3114160.0,4101.916,0.81477,0.87743,0.83087,0.81492
240.0,0,67.871,1377980.0,1219.828,0.92955,0.62078,0.91033,0.60191,58.517,1887204.0,1444.891,0.80909,0.38719,0.80817,0.37415,126.734,3578524.0,4785.108,0.95795,0.97996,0.93076,0.92062,148.792,3715836.0,4590.531,0.83636,0.9091,0.84222,0.83759
320.0,0,69.503,1799604.0,1644.56,0.93977,0.63754,0.92168,0.61614,60.592,2426832.0,1745.205,0.825,0.40666,0.83541,0.3935,128.693,4277032.0,5280.534,0.97614,0.98824,0.94438,0.92375,147.418,4141088.0,4495.036,0.92045,0.94404,0.90579,0.8687
480.0,0,72.416,2932560.0,2449.406,0.97841,0.65656,0.958,0.62911,66.366,3415740.0,2754.355,0.86136,0.44514,0.85244,0.42594,129.118,5189220.0,5872.684,0.98636,0.99852,0.958,0.92833,156.509,4611612.0,5093.99,0.99432,0.97694,0.97049,0.8937
640.0,0,73.124,3822648.0,3144.81,0.98182,0.66684,0.96254,0.6323,64.781,4227096.0,3004.777,0.925,0.4806,0.91941,0.4532,128.720,5296652.0,6234.083,1.0,1.0,0.96822,0.9292,154.273,4766192.0,5245.928,0.99773,0.98156,0.97389,0.89523
1.0,1,33.878,62580.0,167.718,0.01023,0.0,0.01135,0.0,33.754,65084.0,155.942,0.01023,0.0,0.01135,0.0,33.594,65896.0,157.406,0.01023,0.0,0.01135,0.0,33.868,69496.0,157.025,0.01023,0.0,0.01135,0.0
20.0,1,34.629,152912.0,215.115,0.5125,0.22893,0.53575,0.22445,44.952,240456.0,325.824,0.63182,0.0874,0.63224,0.08604,53.228,431324.0,928.186,0.56705,0.7134,0.60272,0.70779,83.138,440596.0,899.438,0.59091,0.3438,0.60386,0.36457
40.0,1,36.076,238988.0,388.775,0.63409,0.3696,0.66061,0.35134,46.883,358852.0,477.358,0.66364,0.15904,0.67083,0.1556,61.981,630396.0,1009.878,0.6625,0.81283,0.69353,0.7923,102.075,975328.0,1847.773,0.61477,0.71106,0.62316,0.68932
80.0,1,42.040,400940.0,443.496,0.76023,0.52335,0.79001,0.51499,52.309,652800.0,706.511,0.70568,0.26896,0.70261,0.26823,96.818,1358528.0,1931.03,0.79091,0.9122,0.81725,0.88257,126.145,1909668.0,2633.233,0.69773,0.78336,0.69807,0.75107
120.0,1,58.012,683992.0,769.639,0.86932,0.57681,0.89103,0.57182,53.747,1011080.0,1002.843,0.79318,0.31507,0.8025,0.31113,101.658,1924740.0,3102.042,0.86932,0.94414,0.87628,0.89932,132.590,2500740.0,3288.812,0.74545,0.83742,0.73439,0.79269
160.0,1,65.189,929640.0,1034.115,0.89318,0.5988,0.90919,0.58857,54.459,1301736.0,1140.148,0.79773,0.36492,0.8025,0.35006,111.829,2410144.0,3537.864,0.92045,0.96004,0.91827,0.91185,138.188,2920692.0,3637.112,0.81477,0.87224,0.82066,0.82139
240.0,1,67.719,1342924.0,1238.713,0.92614,0.62513,0.92849,0.60813,56.530,1901056.0,1576.219,0.82159,0.39526,0.8286,0.37448,131.874,3515620.0,4811.351,0.95227,0.97741,0.92963,0.92118,135.695,3457156.0,4061.879,0.84432,0.90277,0.84109,0.84466
320.0,1,70.911,1849776.0,1625.359,0.92955,0.6413,0.92849,0.62009,57.399,2349600.0,1802.538,0.85,0.4157,0.83314,0.39149,129.707,4299292.0,5434.435,0.97841,0.9867,0.94438,0.92431,141.295,3901552.0,4476.362,0.91591,0.93699,0.89784,0.87643
480.0,1,74.771,2911696.0,2525.391,0.97045,0.66408,0.95687,0.63223,60.915,3303024.0,2489.597,0.86477,0.4582,0.84109,0.4223,135.427,5243876.0,6169.833,1.0,0.99739,0.97957,0.92917,140.513,4379428.0,4777.726,0.98977,0.97661,0.97389,0.89932
640.0,1,76.555,4116728.0,3969.705,1.0,0.67651,0.98184,0.63683,61.522,4093900.0,2905.513,0.93182,0.49195,0.92281,0.44793,132.645,5450320.0,6197.596,1.0,1.0,0.97957,0.93026,142.511,4545552.0,4899.871,1.0,0.98176,0.97843,0.90072
1.0,2,34.304,68088.0,144.007,0.0125,0.0,0.00908,0.0,34.304,65144.0,151.3,0.0125,0.0,0.00908,0.0,34.641,64952.0,150.613,0.0125,0.0,0.00908,0.0,34.670,67452.0,153.005,0.0125,0.0,0.00908,0.0
20.0,2,36.049,154348.0,300.935,0.53523,0.23208,0.51305,0.21983,46.692,248272.0,331.094,0.63068,0.08568,0.64586,0.08474,59.476,462556.0,1010.594,0.57841,0.72015,0.56867,0.6981,92.293,430032.0,886.746,0.57955,0.36928,0.61521,0.35896
40.0,2,36.739,231444.0,331.533,0.65114,0.37499,0.64359,0.36039,48.618,352928.0,431.289,0.64318,0.16749,0.65267,0.15901,67.781,649100.0,973.208,0.66023,0.82292,0.65494,0.79492,110.984,1053592.0,2270.143,0.60227,0.69853,0.63451,0.6721
80.0,2,45.015,414864.0,513.2,0.775,0.5254,0.77526,0.514,54.069,645044.0,694.681,0.73068,0.27801,0.73326,0.26272,106.141,1289052.0,1808.6,0.82273,0.91221,0.82179,0.88492,142.778,2027064.0,3447.77,0.67727,0.77344,0.70375,0.75833
120.0,2,59.397,684620.0,791.556,0.86932,0.5752,0.87514,0.56813,56.489,1000232.0,993.297,0.79545,0.34372,0.79796,0.32809,135.386,2328892.0,3367.83,0.875,0.94132,0.87174,0.90747,152.450,2814112.0,4195.349,0.75568,0.83054,0.75823,0.80246
160.0,2,67.911,927376.0,962.277,0.91591,0.59505,0.90919,0.58854,57.928,1351052.0,1245.561,0.79659,0.36349,0.80023,0.34707,138.540,2808708.0,3873.945,0.93182,0.95663,0.90465,0.91715,158.573,3324016.0,4592.81,0.81705,0.86182,0.81952,0.8228
240.0,2,74.815,1449532.0,1319.558,0.94432,0.61844,0.92168,0.61031,59.963,2010804.0,1611.076,0.82273,0.39753,0.8252,0.38209,154.138,3767584.0,5098.93,0.96136,0.97503,0.92849,0.92865,157.590,3910688.0,4813.168,0.8375,0.90315,0.83201,0.85282
320.0,2,76.871,1888308.0,1616.114,0.97159,0.63289,0.93984,0.62317,60.276,2462456.0,1856.802,0.83636,0.41146,0.83995,0.39717,153.258,4477736.0,5619.401,0.97955,0.98495,0.93757,0.93287,165.421,4415628.0,5419.023,0.90909,0.93166,0.89444,0.87491
